month,skill,job_count,percentage
2025-08,Python,0,0.0
2025-08,Java,0,0.0
2025-08,JavaScript,0,0.0
2025-08,React,0,0.0
2025-08,Node.js,0,0.0
2025-08,AWS,0,0.0
2025-08,Docker,0,0.0
2025-08,Kubernetes,0,0.0
2025-08,SQL,0,0.0
2025-08,Git,0,0.0
2025-06,Python,0,0.0
2025-06,Java,0,0.0
2025-06,JavaScript,0,0.0
2025-06,React,0,0.0
2025-06,Node.js,0,0.0
2025-06,AWS,0,0.0
2025-06,Docker,0,0.0
2025-06,Kubernetes,0,0.0
2025-06,SQL,0,0.0
2025-06,Git,0,0.0
2025-07,Python,0,0.0
2025-07,Java,0,0.0
2025-07,JavaScript,0,0.0
2025-07,React,0,0.0
2025-07,Node.js,0,0.0
2025-07,AWS,0,0.0
2025-07,Docker,0,0.0
2025-07,Kubernetes,0,0.0
2025-07,SQL,0,0.0
2025-07,Git,0,0.0
